ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-28,-177929786.7075656,-225494891.38154137,-146622007.60386014,-177929786.7075656,-177929786.7075656,-6078725.472361801,-6078725.472361801,-6078725.472361801,-6078725.472361801,-6078725.472361801,-6078725.472361801,0.0,0.0,0.0,-184008512.1799274
2025-01-29,-176771227.05657712,-221986073.7871766,-142553295.75382826,-176771227.05657712,-176771227.05657712,-4501458.413329254,-4501458.413329254,-4501458.413329254,-4501458.413329254,-4501458.413329254,-4501458.413329254,0.0,0.0,0.0,-181272685.46990636
2025-01-30,-175612667.40558854,-221930071.190418,-141342663.53198773,-175612667.40558854,-175612667.40558854,-6632278.099368494,-6632278.099368494,-6632278.099368494,-6632278.099368494,-6632278.099368494,-6632278.099368494,0.0,0.0,0.0,-182244945.50495702
2025-01-31,-174454107.75460005,-179028283.43977916,-99763834.7772309,-174454107.75460005,-174454107.75460005,34411003.33803387,34411003.33803387,34411003.33803387,34411003.33803387,34411003.33803387,34411003.33803387,0.0,0.0,0.0,-140043104.4165662
2025-02-01,-173295548.10361147,-220210438.16869023,-143173556.05689824,-173295548.1528805,-173295548.0513558,-8896092.35475057,-8896092.35475057,-8896092.35475057,-8896092.35475057,-8896092.35475057,-8896092.35475057,0.0,0.0,0.0,-182191640.45836204
2025-02-02,-172136988.45262295,-213025485.25343502,-137872376.9625275,-172136988.617265,-172136988.27762434,-4988341.322551194,-4988341.322551194,-4988341.322551194,-4988341.322551194,-4988341.322551194,-4988341.322551194,0.0,0.0,0.0,-177125329.77517414
2025-02-03,-170978428.8016344,-214244483.1822225,-135673403.71437845,-170978429.1115835,-170978428.47614288,-3314107.675562138,-3314107.675562138,-3314107.675562138,-3314107.675562138,-3314107.675562138,-3314107.675562138,0.0,0.0,0.0,-174292536.47719654
2025-02-04,-169819869.15064588,-214897262.17784092,-137161519.86896354,-169819869.6223982,-169819868.63891038,-6078725.472248242,-6078725.472248242,-6078725.472248242,-6078725.472248242,-6078725.472248242,-6078725.472248242,0.0,0.0,0.0,-175898594.62289414
2025-02-05,-168661309.49965733,-208898541.40166253,-136633738.7594512,-168661310.16827822,-168661308.78315738,-4501458.413389021,-4501458.413389021,-4501458.413389021,-4501458.413389021,-4501458.413389021,-4501458.413389021,0.0,0.0,0.0,-173162767.91304636
2025-02-06,-167502749.8486688,-213872579.09824234,-138260497.54853246,-167502750.7383143,-167502748.8698869,-6632278.099356392,-6632278.099356392,-6632278.099356392,-6632278.099356392,-6632278.099356392,-6632278.099356392,0.0,0.0,0.0,-174135027.9480252
2025-02-07,-166344190.19768026,-171155967.06874403,-94137067.25319439,-166344191.34085548,-166344188.95973575,34411003.338035464,34411003.338035464,34411003.338035464,34411003.338035464,34411003.338035464,34411003.338035464,0.0,0.0,0.0,-131933186.8596448
2025-02-08,-165185630.54669175,-215043694.16103536,-136877855.0118795,-165185631.97211248,-165185629.05999666,-8896092.354804559,-8896092.354804559,-8896092.354804559,-8896092.354804559,-8896092.354804559,-8896092.354804559,0.0,0.0,0.0,-174081722.9014963
2025-02-09,-164027070.8957032,-204529143.98596895,-130526896.51107079,-164027072.57341003,-164027069.1691812,-4988341.32264186,-4988341.32264186,-4988341.32264186,-4988341.32264186,-4988341.32264186,-4988341.32264186,0.0,0.0,0.0,-169015412.21834505
2025-02-10,-162868511.24471468,-202316012.89370677,-126996263.38255131,-162868513.18871465,-162868509.1935809,-3314107.675533072,-3314107.675533072,-3314107.675533072,-3314107.675533072,-3314107.675533072,-3314107.675533072,0.0,0.0,0.0,-166182618.92024776
2025-02-11,-161709951.59372613,-205099996.7316385,-129015854.16107608,-161709953.8726202,-161709949.22621852,-6078725.472367837,-6078725.472367837,-6078725.472367837,-6078725.472367837,-6078725.472367837,-6078725.472367837,0.0,0.0,0.0,-167788677.06609395
2025-02-12,-160551391.9427376,-203297816.4404722,-127743046.6876991,-160551394.57568684,-160551389.16335267,-4501458.413371836,-4501458.413371836,-4501458.413371836,-4501458.413371836,-4501458.413371836,-4501458.413371836,0.0,0.0,0.0,-165052850.35610944
2025-02-13,-159392832.29174906,-203315937.47158188,-127027337.57287455,-159392835.25270283,-159392829.1701234,-6632278.099308006,-6632278.099308006,-6632278.099308006,-6632278.099308006,-6632278.099308006,-6632278.099308006,0.0,0.0,0.0,-166025110.39105707
2025-02-14,-158234272.64076054,-162978684.86230797,-86749404.68446061,-158234276.01468727,-158234269.15862975,34411003.33803271,34411003.33803271,34411003.33803271,34411003.33803271,34411003.33803271,34411003.33803271,0.0,0.0,0.0,-123823269.30272783
2025-02-15,-157075712.989772,-201115475.98581794,-126526436.32539216,-157075716.68356857,-157075709.1594045,-8896092.354858551,-8896092.354858551,-8896092.354858551,-8896092.354858551,-8896092.354858551,-8896092.354858551,0.0,0.0,0.0,-165971805.34463054
2025-02-16,-155917153.33878344,-199776341.4533304,-120196196.46083896,-155917157.45979688,-155917149.13518408,-4988341.322591039,-4988341.322591039,-4988341.322591039,-4988341.322591039,-4988341.322591039,-4988341.322591039,0.0,0.0,0.0,-160905494.66137448
2025-02-17,-154758593.6877949,-196562364.58195367,-120857653.02028216,-154758598.2388082,-154758589.14287814,-3314107.675504009,-3314107.675504009,-3314107.675504009,-3314107.675504009,-3314107.675504009,-3314107.675504009,0.0,0.0,0.0,-158072701.3632989
2025-02-18,-153600034.03680637,-197871940.2805156,-122125206.34120438,-153600039.08019015,-153600029.02397916,-6078725.472308688,-6078725.472308688,-6078725.472308688,-6078725.472308688,-6078725.472308688,-6078725.472308688,0.0,0.0,0.0,-159678759.50911507
2025-02-19,-152441474.38581783,-193693899.56424552,-116150361.03302301,-152441479.95424557,-152441468.86641133,-4501458.413424385,-4501458.413424385,-4501458.413424385,-4501458.413424385,-4501458.413424385,-4501458.413424385,0.0,0.0,0.0,-156942932.7992422
2025-02-20,-151282914.7348293,-198642744.89094028,-121815437.0998796,-151282920.79378775,-151282908.82784802,-6632278.099332187,-6632278.099332187,-6632278.099332187,-6632278.099332187,-6632278.099332187,-6632278.099332187,0.0,0.0,0.0,-157915192.8341615
2025-02-21,-150124355.08384076,-157058459.08291847,-79088562.1397393,-150124361.64679843,-150124348.7302776,34411003.33803532,34411003.33803532,34411003.33803532,34411003.33803532,34411003.33803532,34411003.33803532,0.0,0.0,0.0,-115713351.74580544
2025-02-22,-148965795.43285224,-197518413.35830873,-121160515.41014954,-148965802.5685017,-148965788.64627653,-8896092.35482429,-8896092.35482429,-8896092.35482429,-8896092.35482429,-8896092.35482429,-8896092.35482429,0.0,0.0,0.0,-157861887.7876765
2025-02-23,-147807235.7818637,-190894246.45765266,-113235271.040866,-147807243.46118775,-147807228.58431152,-4988341.322606545,-4988341.322606545,-4988341.322606545,-4988341.322606545,-4988341.322606545,-4988341.322606545,0.0,0.0,0.0,-152795577.10447022
2025-02-24,-146648676.13087517,-187691859.3204055,-111160024.93760829,-146648684.28754744,-146648668.4191073,-3314107.675566256,-3314107.675566256,-3314107.675566256,-3314107.675566256,-3314107.675566256,-3314107.675566256,0.0,0.0,0.0,-149962783.80644143
2025-02-25,-145490116.47988662,-188227687.66455087,-113052751.3911247,-145490125.20620558,-145490108.21448857,-6078725.472338914,-6078725.472338914,-6078725.472338914,-6078725.472338914,-6078725.472338914,-6078725.472338914,0.0,0.0,0.0,-151568841.95222554
2025-02-26,-144331556.82889807,-186075057.2368788,-108896271.66723892,-144331566.01809102,-144331548.0099953,-4501458.413476933,-4501458.413476933,-4501458.413476933,-4501458.413476933,-4501458.413476933,-4501458.413476933,0.0,0.0,0.0,-148833015.24237502
2025-02-27,-143172997.17790955,-186842649.90233687,-112248717.3220867,-143173006.9549349,-143172987.8251655,-6632278.099395942,-6632278.099395942,-6632278.099395942,-6632278.099395942,-6632278.099395942,-6632278.099395942,0.0,0.0,0.0,-149805275.27730548
2025-02-28,-142014437.526921,-146972540.91860116,-65028448.78110724,-142014447.77907827,-142014427.63128486,34411003.338032566,34411003.338032566,34411003.338032566,34411003.338032566,34411003.338032566,34411003.338032566,0.0,0.0,0.0,-107603434.18888843
2025-03-01,-140855877.87593248,-185693810.2994904,-109816558.02428943,-140855888.58304653,-140855867.59508517,-8896092.354878278,-8896092.354878278,-8896092.354878278,-8896092.354878278,-8896092.354878278,-8896092.354878278,0.0,0.0,0.0,-149751970.23081076
2025-03-02,-139697318.22494394,-183655137.37089288,-108999594.344303,-139697329.26642245,-139697307.25821888,-4988341.322546889,-4988341.322546889,-4988341.322546889,-4988341.322546889,-4988341.322546889,-4988341.322546889,0.0,0.0,0.0,-144685659.54749084
